Accession Number,Author,Title,Publisher,Year,Branch,Subject,Shelf,Stack
002193,"Nandan, Raghu ",Unleashing India on World Markets ,response Books ,2001,Management,Management,GENERAL,21
002194,"Agrawal, Pradeep",Policy Regimes and Industrial Competitiveness,Macmillan India Ltd.,2000,Management,Management,GENERAL,21
002195,"Mankar, V.G ",Business Economics ,Macmillan India Ltd.,1999,Management,Management,GENERAL,21
002196,"Dean, Joel",Managerial Economics ,Prentice Hall of India ,1976,Management,Management,GENERAL,21
002197,"Vohra, N.D ",Future and  Optics ,Tata McGraw-Hill Publishing Company Limited ,2003,Management,Management,GENERAL,21
002198,All India Management Association,Corporate Governance and Business Ethics ,Excel Books ,1997,Management,Management,GENERAL,21
002199,"Bhalla, V.K.",Investment Managmement: Security Analysis and Portfolio Management,S. Chand & Company Ltd.,2004,Management,Management,GENERAL,21
002200,"Bhaskar, Vijaya ",Derivatives Simplified ; An Introduction to Risk Management ,response Books ,2003,Management,Management,GENERAL,21
002201,"Webber, Alan",Dictionery of Futures & Options ,Vision Books ,2000,Management,Management,GENERAL,21
002202,"Maheshwari, S N",Problems and Solutions in Cost Accounting,Sultan Chand & Sons ,2002,Management,Management,GENERAL,21
002203,"Arya, P P and Tandon, B B",Corporate Governance ,Deep & Deep Publications Pvt. Ltd.,2003,Management,Management,GENERAL,21
002204,"Jeff, Doyle ","CCIE Professional Development : Routing TCP/IP, Vol - I ",Techmedia ,2002,E & TC,Web Engineering,C,22
002205,"Khera, Shiv ",Living with Honour ,Macmillan India Ltd.,2003,I.T.,Management,GENERAL,21
002206,"Lee, Thomas H.",Design of CMOS Radio-Frequency Integrated Circuits ,Cambridge University Press ,1998,E & TC,Integrated Circuits,A,1
002208,"Narayanaswamy, R ",Financial Accounting : A Managerial Perspective ,Prentice Hall of India,2003,Management,Management,GENERAL,21
002219,"Comer, Douglas E.","Internetworking with TCP/IP: Principles, Protocols, and Architectures:  Vol- 1",Prentice Hall of India ,2003,E & TC,Networking,C,23
002225,"Shulka, M.C ",Advanced Accounts ,S. Chand & Company Ltd.,2003,Management,Management,GENERAL,21
002226,"Horngren , Charles ",Cost Accounting : A Managerial Emphasis ,Prentice Hall of India ,2003,Management,Management,GENERAL,21
002246,"Drury, Colin ",Management & Cost Accountining ,Thomson Learning ,2002,Management,Management,GENERAL,21
002247,"Lamba, A J",Art of Retailing ,Tata McGraw-Hill Publishing Company Limited ,2003,Management,Management,GENERAL,21
002248,"Oz, Effy",Managment Information System ,Cengage Learning ,2006,I.T.,Management,GENERAL,21
002249,"Rutherfoord, Andrea J.",Basic Communication Skills for Technology,Pearson Education,2001,Applied Science & Engineering,Communication,H,46
002250,"Heller, Robert ",In Search of European Excellence ,Profile Books ,1947,I.T.,Management,GENERAL,21
002251,Batra Ravi ,Myth of Free Trade : A Plan for America's Economic Rebvival ,Charles Scribners Sons ,1993,I.T.,Management,GENERAL,21
002252,A World Bank Bank Development Policy review ,"India Sustaining Reform, Reducing Poverty ",Oxford University Press ,2003,I.T.,Management,GENERAL,21
002253,"Tiwana, Amrit", Knowledge Management Toolkit,Pearson Education,2002,Management,Management,GENERAL,21
002254,"Ghoshal, Sumantra ",Managing Radical Change : What Indian Companies Must Do to Become World Class,Penguin Books ,2000,I.T.,Management,GENERAL,21
002255,"Bossidy, Larry ",Execution : The Discipline of Gettinh things done ,Random House,2002,I.T.,Management,GENERAL,21
002256,"Ziglar, Zig ",Over the Top ,Magna Publishing Co Ltd.,1999,I.T.,Management,GENERAL,21
002257,"Colley, John L.",Corporate Governance ,Tata McGraw-Hill Publishing Company Limited ,2003,Management,Management,GENERAL,21
002258,"Crawford, Fred ",Myth of Excellence ,Crown Business ,2001,I.T.,Management,GENERAL,21
002259,"Klein, Naomi",No Logo ,Flamingo,2001,I.T.,Management,GENERAL,21
002260,NABARD ,Rural Economy ,ETIG ,2001,Management,Management,GENERAL,21
002261,"Cairncross, Frances",Death of Distance,Harvard Business School Press,2001,I.T.,Management,GENERAL,21
002262,"Hira, Kawal ",Work and Productivity ,Oxford University Press ,1993,Management,Management,GENERAL,21
002263,"Pardeshi, P. C. ",Human Resources Management ,Nirali Prakashan,1999,Management,Management,GENERAL,21
002264,Havaldar Krishana,Industrail Marketing,Tata McGraw-Hill Publishing Company Limited ,2002,Management,Management,GENERAL,21
2265,"Muneer, Muhamed",How to Prepare for the CAT,Tata McGraw-Hill Publishing Company Limited,2003,I.T.,Competitive Examinations,GENERAL,6
2266,"Bhatia, S. K.",Business Ethics and Managerial Values,Deep & Deep Publications Pvt. Ltd.,2003,Management,Management,GENERAL,21
2267,"Velasquez, Manuel G.",Business Ethics : Concepts and Cases,Pearson Education,5th / 2002,Management,Management,GENERAL,21
2268,"Lewicki, Roy J. ; Saunders, David M. and Minton, John W.",Negotiation,McGraw Hill Publishing Company Ltd,3rd/ 1999,Management,Management,GENERAL,21
2269,"Martino, Joseph P.",Technological Forecasting for Decision Making,McGraw Hill Publishing Company Ltd,3 rd / 1993,Management,Management,GENERAL,21
2270,"Thomas, Alan","Controversies in Management: Issues, Debates & Answers",Routledge,2nd / 2003,Management,Management,GENERAL,21
2271,"Rogers, Jim",Adventure Capitalist,Random House,2003,Management,Management,GENERAL,21
2272,"Naisbitt, John",Megatrends Asia : The Eight Asian Megatrends that are Changing the World,Nicholas Brealey Publishing,1995,I.T.,Management,GENERAL,21
2273,"Ohmae, Kenichi",End of the Nation State : The Rise of the Regional Economies,Harper Collins Publisher,1995,I.T.,Management,GENERAL,21
2274,Cohen. Herb,Negotiate This !,Warner Books,2003,I.T.,Management,GENERAL,21
2275,"Paul, Dan and Cox, Jeff",Cure : Enterprises Medicine for Business,John Wiley & Sons,2003,Management,Management,GENERAL,21
2276,"Chopra, Sunil and Meindl, Peter","Supply Chain Management : Strategy, Planning, and Operation",Pearson Education,2001,Management,Management,GENERAL,21
2277,"Chakraborty, S. K.",Values and Ethics for Organizations: Theory and Practice,Oxford University Press,1998,Management,Management,GENERAL,21
2278,"Raina, Kapil",mCommerce Security : A Beginner's Guide,Tata McGraw-Hill Publishing Company Limited,2002,Management,Management,GENERAL,21
2279,"Schemetterer, Bob",Leap : A Revolution in Creative Business Strategy,John Wiley & Sons,2003,Management,Management,GENERAL,21
2280,"Boatright, John R.",Ethics and the Conduct of Business,Pearson Education,4th / 2003,Management,Management,GENERAL,21
2281,"Marcus, Robert and Watters, Beverly",Collective Knowledge,Prentice Hall of India,2002,Management,Management,GENERAL,21
2282,"Negus, Christopher",Red hat Linux 9 Bible,Wiley India Pvt. Ltd.,2003,Computer,Operating system,E,20
2283,"Hayes, Hohn",Intrernational Skill at work,Routledge,2nd / 2002,Management,Management,GENERAL,21
2284,"Kumar, Surendar",Corporate Governance: A Question of Ethics,Galgotia Publishing Company,2nd / 2002,Management,Management,GENERAL,21
2285,"Vitt, Elizabeth; Luckevich, Michael and Stacia, Misner",Making Better Business Intelligence Decisions Faster,Prentice Hall of India,2002,Management,Management,GENERAL,21
2286,"Laudon, Kenneth; Laudon, Jane",Management Information system,Pearson Education,3rd/2003,I.T.,Management,GENERAL,21
2288,Jessup Leonard M.,Information System Today,Prentice Hall of India,2003,I.T.,Management,GENERAL,21
2289,"Mathur, Pradeep Kumar",Implementing ISO 9001 : 2000,Vikas Publishing House Pvt Ltd.,2003,Management,Management,GENERAL,21
2290,"Beckford, John",Quality,Routledge,2 nd / 2003,Management,Management,GENERAL,21
2291,"Chary, S. N.",Business Gurus Speak,Macmillan India Ltd.,2nd / 2002,Management,Management,GENERAL,21
2292,"Dunphy, Dexter and Griffiths, Andrew",Organizational Change for Corporate Sustainability,Routledge,2003,Management,Management,GENERAL,21
2293,"Kotcher, Raymond L.",Insight the Minds PR Visionaries,Aspatore Books,2001,Management,Management,GENERAL,21
2294,"Kaushesh, Anshul",Retailing: The Sunrise Sector,ICFAI University Press,2002,Management,Management,GENERAL,21
2295,Harvard Business School Press,Negotiation,Harvard Business School Press,2003,Management,Management,GENERAL,21
2296,"Hollands, Jean",Same Game Different Rules,McGraw Hill Publishing Company Ltd,2002,I.T.,Management,GENERAL,21
2297,Government of India,Successful Governance Initiatives and Best Practices Experiences from Indian State,Academic Foundation,2003,Management,Management,GENERAL,21
2298,"Beri, G. C.",Statistics for Management,Tata McGraw-Hill Publishing Company Limited,2003,Management,Management,GENERAL,21
2299,"Krishnamurthy, Sandeep",E-Commernce Management : Text And Cases,Thomson Learning,2003,Management,Management,GENERAL,21
2300,"Davies, Gary",Corporate Reputaion and Competitiveness,Routledge,2003,Management,Management,GENERAL,21
2301,"Sonalker, M. V. and Kaveri, V. S.",Financial Management for Small Enterprises,Authors Press,2003,Management,Management,GENERAL,21
2302,"McMahon, E. and Burnard, R.",Bricks to Clicks : E-Strategies That will Transform Your Business,Macmillan India Ltd.,2000,Management,Management,GENERAL,21
2303,"Vernon, Mark",Business : The Key Concepts,Routledge,2002,Management,Management,GENERAL,21
2304,"Harris, Lisa and Dennis, Charles",Marketing the E- Business,Routledge,1st / 2002,Management,Management,GENERAL,21
2305,"Agrawal, M. R.",Financial Management,RBSA Publishers,2003,Management,Management,GENERAL,21
2306,"Horn, Art",Gifts of Leadership : Team Building Through Focus and Empathy,Macmillan India Ltd.,1998,Management,Management,GENERAL,21
2307,"Brelsford, Harry and Toot, Michael S.",Connecting to Customers,Prentice Hall of India,2003,Management,Management,GENERAL,21
2308,"Rao, V. S. P.",Strategic Management : Text and Cases,Excel Books,2003,Management,Management,GENERAL,21
2309,"Prasad, Kesho",Organisational Development for Excellence,Macmillan India Ltd.,1996,Management,Management,GENERAL,21
2310,"Agarwal, Raj",Business Environment,Excel Books,2000,Management,Management,GENERAL,21
2311,"Sharma, Sarita",Organisation and Management,RBSA Publishers,2003,Management,Management,GENERAL,21
2312,"Mathew, M. J.",Fundamentals of Organizational Theory and Beaviour,RBSA Publishers,2003,Management,Management,GENERAL,21
2313,"Khandwalla, Pradip",Corporate Creativity,Tata McGraw-Hill Publishing Company Limited,2003,Management,Management,GENERAL,21
2314,"Gibbons, Barry",Chronicles From the Planet Business,Capstone Publishing Limited,2000,Management,Management,GENERAL,21
2315,"Nanda, Meena",Boss Manangement,Vikas Publishing House Pvt Ltd.,2003,Management,Management,GENERAL,21
2316,"Grimwade, Nigel","International Trade : New Patterns of Trade, Production and Investment",Routledge,2nd / 2000,Management,Management,GENERAL,21
2317,"Statt, David A.",Understanding the Consumer : A Psychological Approach,Palgrave Macmillan,1997,Management,Management,GENERAL,21
2318,"Patrl, M. A.",Financial Crisis and Stability in a Global Economy,Himalaya Publishing House,2003,Management,Management,GENERAL,21
2319,"Pande, Peter S. and Neuman, Robert P.","Six Sigma Way: How GE, Motorola, and Other Top Companies are Honing Their Performance",Tata McGraw-Hill Publishing Company Limited,2003,I.T.,Management,GENERAL,21
2320,"Carr, Nicholas G.",Digital Enterprise : How to Reshape Your Business for a Connected World,Harvard Business School Press,2001,I.T.,Management,GENERAL,21
2321,"Cairncross, Frances",Death of Distance : How the Communication Revolution Is Changing Our Lives,Harvard Business School Press,2001,I.T.,Management,GENERAL,21
2322,"Collinge, Robert and Ayers, Ronald",Economics by Design : Principles and Issues,Prentice Hall of India,1999,Management,Management,GENERAL,21
2323,"Hindery, Leo",Biggest Game of All,The Free Press,2003,I.T.,Management,GENERAL,21
2324,"Hoy, Frank and Stanworth, John",Franchising : An International Perspective,Routledge,2003,Management,Management,GENERAL,21
2325,"Daymon, Christine and Holloway, Immy",Qualitative Research Methods in Public Relations and Marketing Communications,Routledge,2002,Management,Management,GENERAL,21
2326,"Wilhelm, William",Information Markets,Harvard Business School Press,2001,Management,Management,GENERAL,21
2327,"Katzenbach, Jon R.",Work of Teams,Harvard Business School Press,1998,Management,Management,GENERAL,21
2328,"Stacey, Ralph",Complexity and Management,Routledge,2003,Management,Management,GENERAL,21
2329,"Tang, Jie and Ward, Anthony",Changing Face of Chinese Management,Routledge,2003,Management,Management,GENERAL,21
2330,"Tang, Jie and Ward, Anthony",Changing Face of Chinese Management,Routledge,2003,Management,Management,GENERAL,21
2331,"Gulati, Ranjay",Kelloggs on Technology & Innovation,John Wiley & Sons,2003,I.T.,Management,GENERAL,21
2332,"Moschella, David",Customer Driven,Harvard Business School Press,2003,Management,Management,GENERAL,21
2333,HBR,Managing Creativity and Innovation,Harvard Business School Press,2003,Management,Management,GENERAL,21
2334,"Koch, Richard",80 / 20 Individual,Currency,2003,I.T.,Self Help,GENERAL,11
2335,"Schonberger, Richard J.",Let's Fix It !,The Free Press,2001,I.T.,Management,GENERAL,21
2336,"Thomke, Stefan H.",Experimentation Matters,Harvard Business School Press,2003,I.T.,Management,GENERAL,21
2337,"Marsh, Lisa",House of Klein,John Wiley & Sons,2003,I.T.,Management,GENERAL,21
2338,"O'Shaughnessy, John",Marketing Power of Emotion,Oxford University Press,2003,Management,Management,GENERAL,21
2339,"Rastogi, P. N.",Managing Constant Change,Macmillan India Ltd.,1999,Management,Management,GENERAL,21
2340,"Magretta, Joan",What Management Is : How It Works and Why It's Everyone's Business,The Free Press,2002,Management,Management,GENERAL,21
2341,"Patterson, Kerry",Crucial Conversations Tools for Talking When Stakes are High,McGraw Hill Publishing Company Ltd,2002,Management,Management,GENERAL,21
2342,"Mauzy, Jeff",Creativity Inc : Building an Innovation Organization,Harvard Business School Press,2003,Management,Management,GENERAL,21
2343,"Hennessy, John L. and Patterson, David A.",Computer Architecture: A Quantitative Approach,Morgan Kaufmann Publishers,3rd / 2003,Computer,Computer Organization,D,16
2349,"Pattanayak, Biswajeet",Human Resource Management,Eastern Economy Edition,2 nd/ 2003,Management,Management,GENERAL,21
2361,"Franco, Sergio",Design with Operational Amplifiers and Analog Integrated Circuits,Tata McGraw-Hill Publishing Company Limited,3rd / 2002,E & TC,Integrated Circuits,A,1
2363,"Stevens, W. Richard",Unix Network Programming : Vol - 1,Pearson Education,2nd / 1999,Computer,Operating system,E,20
2370,"Stevens, W. Richard",Unix Network Programming : Vol - 2,Addison Wesley Longman,2nd / 1999,Computer,Operating system,E,20
2381,"Sen, Ratna",Industrial Relations in India : Shifting Paradigms,Macmillan India Ltd.,2003,I.T.,Management,GENERAL,21
2382,"Mamoria, C. B.",Personnel Management,Himalaya Publishing House,2002,Management,Management,GENERAL,21
2383,"Cateora, Philip R. and Graham, John L.",International Marketing,McGraw Hill Publishing Company Ltd,10th / 1999,Management,Management,GENERAL,21
2384,"Hamel, Gary and Prahalad, C. K.",Competing for the Future,Tata McGraw-Hill Publishing Company Limited,2002,I.T.,Management,GENERAL,21
2385,"Bhatia, S. K.",International Practices in Industrial Relations,Deep & Deep Publications Pvt. Ltd.,2003,Management,Management,GENERAL,21
2386,"Misra, S. K.",Economic Environment of Business,Himalaya Publishing House,2000,Management,Management,GENERAL,21
2387,"Penrose, John M. and Rasberry, Robert W.",Advanced Business Communication,Thomson Learning,4th / 2001,Management,Communication,G,9
2388,"Chopra, Bs. Ks.",Business Environment in India,SIFT,3rd / 2002,Management,Management,GENERAL,21
2391,Cisco Systems,Internetworking Technologies Handbook,Techmedia,3rd / 2001,E & TC,Networking,C,19
2393,"Lammle, Todd",Cisco Certified Network Associated,BPB Publications,"4th, 2004",E & TC,Networking,C,19
2394,Cisco Systems,CCNA Cisco Certified Network Associate study Gide,BPB Publications,4th / 2004,E & TC,Networking,C,19
2395,"Hennessy, John L and Patterson, David A.",Computer Architecture : A Quantitative Approach,Morgan Kaufmann Publishers,3rd / 2003,Computer,Computer Organization,D,16
2402,Government of India,Economic Survey (2002-2003),Government of India Press,2002-2003,Management,Management,GENERAL,21
2404,"Odom, Wendell",CCNA : Introduction to Exam Certification Guide,Pearson Education,2004,I.T.,Networking,C,23
2405,"Buller, Paul F.",Managing Organizations and People : Cases in Management,Thomson Learning,2003,Management,Management,GENERAL,21
2406,"Datt, Ruddar and Sundharam, K. P. M.",Indian Economy,S. Chand & Company Ltd.,49th / 2004,Management,Management,GENERAL,21
2411,"Gray, John","Men are From Mars, Women are From Venus",Harper Collins Publisher,2003,I.T.,Management,GENERAL,21
2412,"Carnegie, Dale",How to Stop Worrying and Start Living,Vermilion,1990,I.T.,Self Help,GENERAL,11
2413,"Johnson, Spencer",One Minute Apology : A Powerful Way to Make Things Better,Harper Collins Publisher,2003,I.T.,Self Help,GENERAL,11
2414,"Blanchard, Ken",Whale Done! : The Power of Positive Relationships,Nicholas Brealey Publishing,2002,I.T.,Self Help,GENERAL,11
2415,"Gupta, Suraj","Monetory Economics : Institutions, Theory and Policy",S. Chand & Company Ltd.,2003,Management,Management,GENERAL,21
2419,"Luhn, Rebecca R.",Managing Anger,Viva Books Pvt. Ltd.,2004,Management,Self Help,GENERAL,11
2420,"Evans, Eric",Mastering Negotiations,Viva Books Pvt. Ltd.,2003,Management,Management,GENERAL,21
2421,"Haddon, Peter F.",Mastering Personal and Interpersonal Skills,Viva Books Pvt. Ltd.,2003,Management,Self Help,GENERAL,11
2422,"Silbiger, Steven",10 - Days MBA,Magna Publishing Co Ltd.,1998,Management,Management,GENERAL,21
2423,"Bryon, Mike",How to Pass Graduate Psychometric Tests,Kogan Page India Pvt Ltd.,2004,I.T.,Competitive Examinations,GENERAL,6
2424,"Heim, Pat",Learning to Lead,Viva Books Pvt. Ltd.,2004,I.T.,Self Help,GENERAL,11
2425,"Chapman, Elwood N.",Sales Training Basics,Viva Books Pvt. Ltd.,3rd / 2004,Management,Management,GENERAL,21
2426,"Ralphs, Lenny T.",Organization Development,Viva Books Pvt. Ltd.,2004,Management,Management,GENERAL,21
2427,"Bonet, Diana",Clear Writing,Viva Books Pvt. Ltd.,2004,I.T.,Communication,G,9
2428,"Cherunilam, Francis",Business Environment and Policy,Himalaya Publishing House,4th / 2003,Management,Management,GENERAL,21
2429,"Giram, Shivkumar",Consumer Protection and Redressal Machinery in India,Himalaya Publishing House,2003,Management,Management,GENERAL,21
2430,"Harris, Thomas A",I'M Ok - You' Re Ok,Arrow Books,1995,I.T.,Management,GENERAL,21
2431,"Rajan, Raghuram G.",Saving Capitalism from the Capitalists,Crown Business,2003,Management,Management,GENERAL,21
2432,"Hillier, Frederick S. and Lieberman, Gerald J.",Introduction to Operations Research,Tata McGraw-Hill Publishing Company Limited,7th / 2001,Management,Management,GENERAL,21
2433,"Holsapple, C. W.",Hand Book of Knowledge Management : Vol. 1,Springer Publishing Company,2003,Management,Management,GENERAL,21
2434,"Holsapple, C. W.",Handbook on Knowledge Management : Vol. 2,Springer Publishing Company,2003,Management,Management,GENERAL,21
2435,"Prasad, Ajit",Dictionary of Strategic Management,Excel Books,2002,Management,Database Management,GENERAL,21
2436,"Date, C. J.",Introduction to Database Systems,Pearson Education,7th /2002,Computer,Database Management,E,20
2439,"Srinath, L. S.",PERT and CPM : Priciples and Applications,Academic Foundation,2002,Management,Management,GENERAL,21
2443,"Covey, Stephen R.",Living the 7 Habits : Stories of Courage and Inspiration,Simon & Schuster,1999,I.T.,Self Help,GENERAL,11
2444,"Rob, Peter and Coronel, Carlos","Database Systems : Design, Implementation, and Management",Thomson Learning,5th / 2002,Computer,Database Management,E,20
2445,Vaidyanathan,India's Economic Reforms and Development,Academic Foundation,2003,Management,Management,GENERAL,21
2446,"Holcombe, Jane & Holcombe, Charles",Survey of Operating Systems,Tata McGraw-Hill Publishing Company Limited,2003,Management,Management,GENERAL,21
2447,"Robinson, Ken",Out of Our Minds : Learning to be Creative,Capstone Publishing Limited,2001,I.T.,Management,GENERAL,21
2448,"Iacocca, Lee",Iacocca: An Autobiography,Bantam Books,1986,I.T.,Biography,GENERAL,26
2449,"Udpa, S. R.",Quality Circles : Progress Through Participation,Tata McGraw-Hill Publishing Company Limited,2nd / 1999,Management,Management,GENERAL,21
2450,"Elsenpeter, Robert C.",eBusiness : A Beginner's Guide,Tata McGraw-Hill Publishing Company Limited,2001,Management,Management,GENERAL,21
2451,"Pande, Peter S. and Neuman, Robert P.","Six Sigma Way : How GE, Motorola, and Other Top Companies are Honing Their Performance",Tata McGraw-Hill Publishing Company Limited,2003,I.T.,Management,GENERAL,21
2452,"Rao, M. B. and Guru, Manjula",WTO and International Trade,Vikas Publishing House Pvt Ltd.,2003,I.T.,Management,GENERAL,21
2453,"Mittal, Anand",Economics Reforms and Capital Market in India,Galgotia Publishing Company,2003,Management,Management,GENERAL,21
2454,"Forsyth,Patrick",Meetings Pocketbook,Research Press Business Books,1997,Management,Management,GENERAL,21
2455,"Rob, Peter and Coronel, Carlos","Database Systems : Design, Implementation, and Management",Thomson Learning,5th / 2002,Computer,Management,E,20
2456,"Tulsian, P. C. and Pandey, Vishal",Business Organisation and Management,Pearson Education,2002,Management,Management,GENERAL,21
2458,"Campbell, John Y. ; Lo, andrew W. and Mackinlay, A. Craig",Econometrics of Financial Markets,Princeton University Press,1997,Management,Management,GENERAL,21
2459,"Gupta, Udayan",Done Deals,Harvard Business School Press,2000,I.T.,Management,GENERAL,21
2460,"Tapscott, Don ; Ticoll, David and Lowy, Alex",Digital Capital : Harnessing the Power of Business Webs,Harvard Business School Press,2000,Management,Management,GENERAL,21
2461,"Courter, Gini; Marquis, Annette and Miller, Michael",Mastering Microsoft Project 2002,BPB Publications,2003,Computer,Project Management,G,4
2466,"Grodzinsky, Frances S.",Networking and Data Communications Laboratory Manual,Prentice Hall,1999,E & TC,Networking,C,19
2467,"Rajan, Raghuram G.",Saving Capitalism from the Capitalists,Crown Business,2003,Management,Management,GENERAL,21
2468,"Tapscott, Don ; Ticoll, David",Naked Corporation,Free Press,2003,I.T.,Management,GENERAL,21
2469,"Godbole, Madhav",Public Accountability and Transparency,Orient Longman,2003,Management,Management,GENERAL,21
2470,"Vohra, N. D.",Quantitive Technologies in Management,Tata McGraw-Hill Publishing Company Limited,2nd / 2001,Management,Management,GENERAL,21
2472,"Williams, Michael",Mastering Leadership,Viva Books Pvt. Ltd.,2003,Management,Management,GENERAL,21
2473,"Thomas, Mark",Mastering People Management,Viva Books Pvt. Ltd.,2003,Management,Management,GENERAL,21
2474,"Brookson, Stephen",Mastering Financial Management,Viva Books Pvt. Ltd.,2003,Management,Management,GENERAL,21
2475,"Goman, Carol Kinsey",Managing for Commitment : Developing Loyalty in a Changing Workplace,Viva Books Pvt. Ltd.,2004,Management,Management,GENERAL,21
2476,"Scott, Cynthia D.",Managing Change at Work,Viva Books Pvt. Ltd.,2004,Management,Management,GENERAL,21
2477,"Covey, Stephen R.",7 Habits of Highly Effective People : Powerful Lessons in Personal Change,Simon & Schuster,1992,I.T.,Self Help,GENERAL,11
2478,"Slater, Robert",Get Better or Get Beaten ! : 29 Leadership Secrets from GE's Jack welch,Tata McGraw-Hill Publishing Company Limited,2nd/2002,I.T.,Self Help,GENERAL,11
2479,"Joshi, J. C.",How to Improve Your Memory,Sahni Publications,,I.T.,Self Help,GENERAL,11
2480,"Gamble, Teri",Sales Scripts That Sell !,Amacom,1992,Management,Management,GENERAL,21
2481,"Chunawalla, S. A. and Sethia, K. C.",Foundations of Advertising: Theory & Practice,Himalaya Publishing House,5th / 2002,Management,Management,GENERAL,21
2482,"King, Stephen",Complete Guide to Training Delivery,Amacom,2001,Management,Management,GENERAL,21
2483,"Levy, Michael and Weitz, Barton A.",Retailing Management,Tata McGraw-Hill Publishing Company Limited,4th / 2002,Management,Management,GENERAL,21
2484,"Luthans, Fred; Hodgetts, Richard and Thompson, Kenneth",Social Issues in Business: Strategic and Public Policy Perspectives,Collier Macmillan Publishers,6th / 1990,Management,Management,GENERAL,21
2485,"Scholes, Eileen",Handbook of Communication,Infinity Books,2003,E & TC,Communication,C,4
2486,"Singh, P. and Bhandarker, Asha",Winning the Corporate Olympiad: The Renaissance Paradigm,Vikas Publishing House Pvt Ltd.,2002,Management,Management,GENERAL,21
2487,Government Of India,India's Five Year Plans : Complete Documents : Tenth Five Year Plan 2007,Academic Foundation,2003,I.T.,Management,GENERAL,21
2488,"Rao, Rajeswar K.",Management Information System,Himalaya Publishing House,2001,I.T.,Management,GENERAL,21
2489,"Linton, Ian",30 Minutes to Write Sales Letters,Kogan Page India Pvt Ltd.,2003,I.T.,Communication,G,9
2490,"Forsyth, Patrick",30 Minutes to Write a Report,Kogan Page India Pvt Ltd.,2003,I.T.,Communication,G,9
2491,"Hart, Graham",30 Minutes to Suceed in Business Writing,Kogan Page India Pvt Ltd.,1997,I.T.,Communication,G,9
2492,"Pandey, V. C.",Information Communication Technology and Education ( Vol - 1 ),Isha Books,2003,E & TC,Information Technology,F,1
2493,"Pandey, V. C.",Information Communication Technology and Education ( Vol - 2 ),Isha Books,2003,E & TC,Information Technology,F,1
2494,"Pandey, V. C.",Information Communication Technology and Education ( Vol - 3),Isha Books,2003,E & TC,Information Technology,F,1
2495,"Pandey, V. C.",Information Communication Technology and Education ( Vol - 4 ),Isha Books,2003,E & TC,Information Technology,F,1
2496,"Pandey, V. C.",Information Communication Technology and Education ( Vol - 5 ),Isha Books,2003,E & TC,Information Technology,F,1
2497,"Yin, Robert",Case Studies Research Design and Methods,Sage Publications,3rd / 2003,Management,Research Methodology,GENERAL,21
2498,"Alvesson, Mats, and Deetz, Stanley",Doing Critical Management Research,Sage Publications,2001,Management,Research Methodology,GENERAL,21
2499,"Mason, Charlotte",Marketing Game with Student CD Rom,McGraw Hill Publishing Company Ltd,2002,Management,Management,GENERAL,21
2500,"Eisenmanna, Thomas",Internet Business Models : Text and Cases,McGraw Hill Publishing Company Ltd,2002,Management,Management,GENERAL,21
2501,"McCormack, Mark H.",What They Don't Teach you at Harvard Business School,Profile Books,2003,Management,Management,GENERAL,21
2502,"Lynch, Peter",One Up On Wall Street,Fireside Book,1999,I.T.,Management,GENERAL,21
2503,"Sunder, Sankaran",Indian Mutual Funds Handbook,Vision Books,2003,Management,Management,GENERAL,21
2504,"Pistolese, Clifford",Using Technical Analysis : A Self-Teaching Guide for the Stock Market Investor,Vision Books,2001,Management,Management,GENERAL,21
2505,"Klein, Alec",Stealing Time,Simon & Schuster,2003,I.T.,Management,GENERAL,21
2506,"Proakis, John G.","Digital Signal Processing : Principles, Algorithms, and Applications",Prentice Hall of India,3rd / 2003,E & TC,Management,GENERAL,21
2507,"Gates, Bill",Business @ The Speed of Thought,Penguin Books,1999,Management,Biography,GENERAL,26
2508,"Gayakwad, Ramakant A.",Op-Amps and Linear Integrated Circuits,Pearson Education,4th / 2000,E & TC,Integrated Circuits,A,1
2509,"Mukherjee, A, and Hanif, M.",Modern Accountancy : Volume I,Tata McGraw-Hill Publishing Company Limited,2nd/2000,Management,Management,GENERAL,21
2511,"Leach, Donald P. and Malvino, Albert Paul",Digital Principles and Applications,Tata McGraw-Hill Publishing Company Limited,5th / 1995,Computer,Digital Electronics,B,2
2513,Tulsian P. C.,Finacial Accounting,Tata McGraw-Hill Publishing Company Limited,2003,Management,Management,GENERAL,21
2514,"Venkatesh, S.",Accounting for Management Text & Cases,Vikas Publishing House Pvt Ltd.,3rd / 2003,Management,Management,GENERAL,21
2515,"Sharma, Subhash & Vithal, M. P.",Financial Accounting for Management : Text and Cases,Macmillan India Ltd.,1998,Management,Management,GENERAL,21
2517,"Walsh, Ciaran",Key Management Ratios,Macmillan India Ltd.,1993,Management,Management,GENERAL,21
2519,"Ubha, Dharminder Singh",Corporate Disclosure Practices: Text and Case studies,Deep & Deep Publications Pvt. Ltd.,2002,Management,Management,GENERAL,21
2520,"Aswathappa, K.",Organizational Behavior,Himalaya Publishing House,5th / 2000,Management,Management,GENERAL,21
2521,"Still, Richard R.",Sales Management : Decision Strategies and Cases,Prentice Hall of India,5th / 2001,Management,Management,GENERAL,21
2522,"Khera, Shiv",Freedom is not Free : Every Generation Need to Earn its Own Freedom,Macmillan India Ltd.,2004,I.T.,Management,GENERAL,21
